=== 測驗紀錄 ===
解釋: 涙／眼淚, 你的回答: れい, 正確答案: なみだ
解釋: 木枯らし／寒風, 你的回答: きほらし, 正確答案: こがらし
解釋: 一本／一棵（樹）, 你的回答: いっほん, 正確答案: いっぽん
解釋: 決心, 你的回答: , 正確答案: けっしん
解釋: 振り向く／回頭, 你的回答: ふりなたく, 正確答案: ふりむく
解釋: 枝, 你的回答: , 正確答案: えだ
解釋: 季節, 你的回答: せかく, 正確答案: きせつ
解釋: 懷念, 你的回答: , 正確答案: なつかしい
解釋: 押し花／壓花, 你的回答: , 正確答案: おしばな
解釋: 両手／雙手, 你的回答: りょうしょ, 正確答案: りょうて
解釋: 目印／記號, 你的回答: ひめ, 正確答案: めじるし
解釋: 見守る／守護, 你的回答: み, 正確答案: みまもる
解釋: 大人／大人, 你的回答: , 正確答案: おとな
解釋: 動く, 你的回答: , 正確答案: うごく
解釋: 散る／凋落, 你的回答: , 正確答案: ちる
解釋: 場所／地點, 你的回答: ところ, 正確答案: ばしょ
解釋: 一歩／一步, 你的回答: いっぶう, 正確答案: いっぽ
解釋: 広げる／張開, 你的回答: , 正確答案: ひろげる
解釋: 頬／臉頰, 你的回答: かお, 正確答案: ほお
解釋: 輝く／閃耀, 你的回答: ややがく, 正確答案: かがやく
解釋: 思い出／回憶, 你的回答: おもいだ, 正確答案: おもいで
解釋: 語る／談論, 你的回答: , 正確答案: かたる
解釋: 微笑む, 你的回答: , 正確答案: ほほえむ
解釋: 長い, 你的回答: なかい, 正確答案: ながい

=== 測驗紀錄 ===
解釋: 看起來安靜的, 你的回答: しずかな, 正確答案: しずかそうな
解釋: 辛苦的、嚴重的, 你的回答: きびしい, 正確答案: たいへん
解釋: 安靜的, 你的回答: しずかしい, 正確答案: しずかな
解釋: 一定、務必, 你的回答: , 正確答案: ぜひ
解釋: 看起來有趣的, 你的回答: おもしそう, 正確答案: おもしろそう
解釋: 討厭的, 你的回答: きらい, 正確答案: きらいな
解釋: 有禮貌的, 你的回答: , 正確答案: ていねいな
解釋: 美麗的, 你的回答: きれいな, 正確答案: うつくしい
解釋: 加班, 你的回答: , 正確答案: ざんぎょう
解釋: 笨拙的、不擅長的, 你的回答: へたい, 正確答案: へたな
解釋: 擅長的, 你的回答: , 正確答案: とくいな
